period,ratio,subject
2025-02-13,86.01205,target
2025-02-14,83.80346,target
2025-02-15,85.94498,target
2025-02-16,93.2328,target
2025-02-17,98.9904,target
2025-02-18,93.09098,target
2025-02-19,90.65197,target
2025-02-20,88.68243,target
2025-02-21,85.78124,target
2025-02-22,86.80844,target
2025-02-23,95.894,target
2025-02-24,100.0,target
2025-02-25,90.42903,target
2025-02-26,88.30344,target
2025-02-27,84.02191,target
2025-02-28,78.0393,target
2025-03-01,87.22416,target
2025-03-02,81.9484,target
2025-03-03,81.57671,target
2025-03-04,73.4539,target
2025-03-05,72.79483,target
2025-03-06,71.29721,target
2025-03-07,68.67085,target
2025-03-08,70.31273,target
2025-03-09,76.7871,target
2025-03-10,76.40024,target
2025-03-11,72.81619,target
2025-03-12,70.68235,target
2025-03-13,69.10099,target
2025-03-14,67.77966,target
2025-03-15,68.97135,target
2025-03-16,75.33539,target
2025-03-17,76.53588,target
2025-03-18,73.41587,target
2025-03-19,69.72222,target
2025-03-20,68.62851,target
2025-03-21,65.3547,target
2025-03-22,65.27471,target
2025-03-23,70.23891,target
2025-03-24,73.93069,target
2025-03-25,69.50753,target
2025-03-26,64.74378,target
2025-03-27,63.24878,target
2025-03-28,59.67634,target
2025-03-29,60.48042,target
2025-03-30,66.04974,target
2025-03-31,71.08945,target
2025-04-01,73.67965,target
2025-04-02,71.22003,target
2025-04-03,69.80184,target
2025-04-04,63.70327,target
2025-04-05,68.40183,target
2025-04-06,70.68104,target
2025-04-07,76.98325,target
2025-04-08,75.62052,target
2025-04-09,72.62285,target
2025-04-10,71.02407,target
2025-04-11,67.78697,target
2025-04-12,68.41757,target
2025-04-13,76.88508,target
2025-04-14,79.70778,target
2025-04-15,78.38289,target
2025-04-16,76.47349,target
2025-04-17,75.17483,target
2025-04-18,71.15764,target
2025-04-19,70.78352,target
2025-04-20,76.57503,target
2025-04-21,85.67371,target
2025-04-22,81.3371,target
2025-04-23,76.29364,target
2025-04-24,76.35228,target
2025-04-25,74.89269,target
2025-04-26,72.67868,target
2025-04-27,81.78054,target
2025-04-28,92.46413,target
2025-04-29,86.68405,target
2025-04-30,83.06365,target
2025-05-01,90.83631,target
2025-05-02,87.41768,target
2025-05-03,89.91852,target
2025-05-04,88.92017,target
2025-05-05,82.57056,target
2025-05-06,83.39243,target
2025-05-07,84.72032,target
2025-05-08,80.63681,target
2025-05-09,70.44181,target
